name,year,value
Frog and Marine Mammals,1988,
Chicken,1989,25863051000
Pig,1989,901139877
Duck,1989,749728000
Sheep and Goat,1989,675031885
Rabbit,1989,539531000
Turkey,1989,513814000
Sheep and Goat,1989,456257199
Beef and Buffalo,1989,265845578
Sheep and Goat,1989,218774686
Goose,1989,158217000
Other Rodents,1989,83720000
Pigeon,1989,45793000
Beef and Buffalo,1989,15878165
Horse,1989,2809530
Camel,1989,1150276
Donkey,1989,474432
Other Camelids,1989,433100
Mule,1989,256424
Game,1989,
Frog and Marine Mammals,1989,
Chicken,1990,27184885000
Pig,1990,917442681
Duck,1990,812040000
Sheep and Goat,1990,692667671
Turkey,1990,561581000
Rabbit,1990,538531000
Sheep and Goat,1990,464384740
Beef and Buffalo,1990,270581774
Sheep and Goat,1990,228282931
Goose,1990,179602000
Other Rodents,1990,84120000
Pigeon,1990,48778000
Beef and Buffalo,1990,16265647
Horse,1990,2867423
Camel,1990,1233767
Other Camelids,1990,473225
Donkey,1990,472242
Mule,1990,265367
Game,1990,
Frog and Marine Mammals,1990,
Chicken,1991,28202998000
Pig,1991,925602267
Duck,1991,924383000
Sheep and Goat,1991,701235345
Turkey,1991,569281000
Sheep and Goat,1991,468371117
Rabbit,1991,458688000
Beef and Buffalo,1991,272413733
Sheep and Goat,1991,232864228
Goose,1991,216231000
Other Rodents,1991,84520000
Pigeon,1991,51121000
Beef and Buffalo,1991,16598082
Horse,1991,3007396
Camel,1991,1311142
Game,1991,757108
Donkey,1991,492947
Other Camelids,1991,417120
Mule,1991,270150
Frog and Marine Mammals,1991,99317
Chicken,1992,29335752000
Duck,1992,1024252000
Pig,1992,946222814
Sheep and Goat,1992,706690086
Turkey,1992,584495000
Rabbit,1992,483259000
Sheep and Goat,1992,465294726
Beef and Buffalo,1992,270782619
Sheep and Goat,1992,241395360
Goose,1992,227173000
Other Rodents,1992,84720000
Pigeon,1992,54122000
Beef and Buffalo,1992,17032094
Horse,1992,4025633
Donkey,1992,2157864
Camel,1992,1384796
Game,1992,836588
Other Camelids,1992,461000
Mule,1992,284593
Frog and Marine Mammals,1992,99002
Chicken,1993,30831975000
Duck,1993,1190739000
Pig,1993,966111850
Sheep and Goat,1993,709348228
Turkey,1993,583517000
Rabbit,1993,504753000
Sheep and Goat,1993,463875615
Beef and Buffalo,1993,271986387
Goose,1993,254672000
Sheep and Goat,1993,245472613
Other Rodents,1993,84720000
Pigeon,1993,58855000
Beef and Buffalo,1993,17769774
Horse,1993,3752501
Donkey,1993,2137063
Camel,1993,1310459
Game,1993,770795
Other Camelids,1993,431000
Mule,1993,294500
Frog and Marine Mammals,1993,101413
Chicken,1994,32078838000
Duck,1994,1294263000
Pig,1994,992176051
Sheep and Goat,1994,722822608
Turkey,1994,599848000
Rabbit,1994,526027000
Sheep and Goat,1994,469822344
Beef and Buffalo,1994,275757670
Goose,1994,271534000
Sheep and Goat,1994,253000264
Other Rodents,1994,84720000
Pigeon,1994,57335000
Beef and Buffalo,1994,18408102
Horse,1994,4168208
Donkey,1994,2123371
Camel,1994,1392050
Game,1994,796310
Other Camelids,1994,460360
Mule,1994,459700
Frog and Marine Mammals,1994,102116
Chicken,1995,34087381000
Duck,1995,1449338000
Pig,1995,1001073647
Sheep and Goat,1995,748093747
Turkey,1995,628698000
Rabbit,1995,546096000
Sheep and Goat,1995,477280373
Goose,1995,375293000
Beef and Buffalo,1995,278038565
Sheep and Goat,1995,270813374
Other Rodents,1995,84720000
Pigeon,1995,58788000
Beef and Buffalo,1995,19185260
Horse,1995,4330433
Donkey,1995,2130103
Camel,1995,1438449
Game,1995,725423
Mule,1995,515500
Other Camelids,1995,427941
Frog and Marine Mammals,1995,110786
Chicken,1996,34994325000
Duck,1996,1508791000
Pig,1996,999774984
Sheep and Goat,1996,726552800
Turkey,1996,642074000
Rabbit,1996,593086000
Sheep and Goat,1996,462163590
Goose,1996,384106000
Beef and Buffalo,1996,278460186
Sheep and Goat,1996,264389210
Other Rodents,1996,84720000
Pigeon,1996,61025000
Beef and Buffalo,1996,17953694
Horse,1996,4768955
Donkey,1996,2281887
Camel,1996,1552706
Game,1996,660725
Mule,1996,619500
Other Camelids,1996,415876
Frog and Marine Mammals,1996,112605
Chicken,1997,36368946000
Duck,1997,1623025000
Pig,1997,997933665
Sheep and Goat,1997,748185512
Turkey,1997,647234000
Rabbit,1997,564024000
Sheep and Goat,1997,466621024
Goose,1997,418451000
Beef and Buffalo,1997,286887259
Sheep and Goat,1997,281564488
Other Rodents,1997,84720000
Pigeon,1997,62360000
Beef and Buffalo,1997,19318866
Horse,1997,4709662
Donkey,1997,2031672
Camel,1997,1579357
Game,1997,760728
Mule,1997,589500
Other Camelids,1997,437454
Frog and Marine Mammals,1997,114628
Chicken,1998,37102236000
Duck,1998,1746135000
Pig,1998,1055147800
Sheep and Goat,1998,773429704
Turkey,1998,637633000
Rabbit,1998,585996000
Sheep and Goat,1998,475211139
Goose,1998,455486000
Sheep and Goat,1998,298218565
Beef and Buffalo,1998,288506603
Other Rodents,1998,72600000
Pigeon,1998,61494000
Beef and Buffalo,1998,19652520
Horse,1998,4631221
Donkey,1998,2031924
Camel,1998,1646654
Game,1998,797963
Mule,1998,739000
Other Camelids,1998,455353
Frog and Marine Mammals,1998,114057
Chicken,1999,38954106000
Duck,1999,2051294000
Pig,1999,1088254196
Sheep and Goat,1999,794081333
Turkey,1999,624862000
Rabbit,1999,577376000
Sheep and Goat,1999,478481796
Goose,1999,471547000
Sheep and Goat,1999,315599537
Beef and Buffalo,1999,290748521
Pigeon,1999,63033000
Other Rodents,1999,60900000
Beef and Buffalo,1999,20308853
Horse,1999,4766677
Donkey,1999,2106923
Camel,1999,1603060
Game,1999,823441
Mule,1999,595700
Other Camelids,1999,479221
Frog and Marine Mammals,1999,113256
Chicken,2000,40554848000
Duck,2000,1968545000
Pig,2000,1100384024
Sheep and Goat,2000,813663783
Turkey,2000,652562000
Rabbit,2000,638032000
Sheep and Goat,2000,493890385
Goose,2000,478939000
Sheep and Goat,2000,319773398
Beef and Buffalo,2000,292422908
Pigeon,2000,64043000
